"code_commune","annee_etablissement","nb_dpe","nb_passoires","nb_logements_performants","nb_etiquette_a","nb_etiquette_b","nb_etiquette_c","nb_etiquette_d","nb_etiquette_e","nb_etiquette_f","nb_etiquette_g","conso_ep_moyenne","conso_ep_mediane","emission_ges_moyenne","surface_moyenne_m2","cout_annuel_moyen_eur","taux_passoires_pct","taux_performants_pct","nom_commune","code_departement","code_region","centroide_x_lambert93","centroide_y_lambert93","latitude","longitude"
"01064",2024,22,7,5,0,5,2,5,3,4,3,250.7,229.5,15.8,96.8,1904,31.82,22.73,"Briord","01",84,892286.425,6522228.81,45.77255,5.474725
"01064",2025,18,5,5,1,4,3,1,4,3,2,220.1,228.2,33.2,114.4,3012,27.78,27.78,"Briord","01",84,892286.425,6522228.81,45.77255,5.474725
"01064",2026,12,1,3,1,2,1,3,4,1,0,217.3,216.5,8,102.4,2175,8.33,25,"Briord","01",84,892286.425,6522228.81,45.77255,5.474725
"01065",2024,69,5,7,1,6,28,13,16,4,1,177.8,165.7,25.1,95.1,1580,7.25,10.14,"Buellas","01",84,866079.8340816326,6568967.028775512,46.200159,5.154031
"01065",2025,41,5,2,1,1,23,4,7,2,3,191.5,167,28.1,107.1,2379,12.2,4.88,"Buellas","01",84,866079.8340816326,6568967.028775512,46.200159,5.154031
"01065",2026,20,0,1,0,1,10,5,4,0,0,166.7,144,24.7,109.9,2140,0,5,"Buellas","01",84,866079.8340816326,6568967.028775512,46.200159,5.154031
"01066",2024,4,1,0,0,0,0,2,1,0,1,293.7,211.1,20.5,119.4,1945,25,0,"La Burbanche","01",84,,,,
"01066",2025,5,2,0,0,0,0,2,1,2,0,287,272.7,36.6,110.5,3381,40,0,"La Burbanche","01",84,,,,
"01066",2026,1,0,1,0,1,0,0,0,0,0,98,98,,121,1049,0,100,"La Burbanche","01",84,,,,
"01067",2024,2,0,0,0,0,0,0,2,0,0,296.4,296.4,53.5,156,4881,0,0,"Ceignes","01",84,892982.84,6561012.65,46.121424,5.499477
"01067",2025,4,2,0,0,0,0,1,1,1,1,290.8,281.6,69.3,173.6,5820,50,0,"Ceignes","01",84,892982.84,6561012.65,46.121424,5.499477
"01067",2026,3,0,0,0,0,0,3,0,0,0,217.1,230,7.1,152.3,2667,0,0,"Ceignes","01",84,892982.84,6561012.65,46.121424,5.499477
"01068",2024,16,2,1,0,1,4,5,4,1,1,217.6,195.3,32.4,95.3,2586,12.5,6.25,"Cerdon","01",84,890735.8500000002,6556264.937142857,46.079329,5.468472
"01068",2025,31,6,6,4,2,9,5,5,3,3,205.8,185,25.9,106.4,2484,19.35,19.35,"Cerdon","01",84,890735.8500000002,6556264.937142857,46.079329,5.468472
"01068",2026,7,1,0,0,0,2,2,2,1,0,221.6,233,7.8,101.6,2629,14.29,0,"Cerdon","01",84,890735.8500000002,6556264.937142857,46.079329,5.468472
"01069",2024,27,0,3,0,3,15,5,4,0,0,163.6,144,18.7,111.8,1920,0,11.11,"Certines","01",84,874873.1300000002,6562832.507586207,46.142724,5.265735
"01069",2025,42,0,1,1,0,20,14,7,0,0,179.1,182.2,16.8,76.8,1434,0,2.38,"Certines","01",84,874873.1300000002,6562832.507586207,46.142724,5.265735
"01069",2026,16,0,3,2,1,7,6,0,0,0,142.2,139.5,15.4,102.1,1633,0,18.75,"Certines","01",84,874873.1300000002,6562832.507586207,46.142724,5.265735
"01071",2024,316,8,7,2,5,200,88,13,3,5,160.2,143.8,25.5,78.9,1316,2.53,2.22,"Cessy","01",84,936233.1906690139,6584530.448204227,46.319332,6.070977
"01071",2025,183,7,8,4,4,120,35,13,5,2,149.9,128.2,18.5,87.5,1603,3.83,4.37,"Cessy","01",84,936233.1906690139,6584530.448204227,46.319332,6.070977
"01071",2026,121,7,5,1,4,66,36,7,0,7,183.8,153.8,19,81.6,1526,5.79,4.13,"Cessy","01",84,936233.1906690139,6584530.448204227,46.319332,6.070977
"01072",2024,111,10,5,2,3,55,26,15,6,4,186.1,173.9,29.9,84.2,1553,9.01,4.5,"Ceyzériat","01",84,879144.3568888891,6567153.018666666,46.180496,5.32269
"01072",2025,105,21,9,2,7,26,36,13,19,2,212.9,197.5,31.8,101.3,2176,20,8.57,"Ceyzériat","01",84,879144.3568888891,6567153.018666666,46.180496,5.32269
"01072",2026,57,6,3,1,2,31,14,3,5,1,183.3,153,18.9,88.4,1743,10.53,5.26,"Ceyzériat","01",84,879144.3568888891,6567153.018666666,46.180496,5.32269
"01073",2024,32,3,7,3,4,5,7,10,1,2,205.2,196.9,19.4,102.9,1895,9.38,21.88,"Ceyzérieu","01",84,911244.2339999999,6529827.464,45.835321,5.721898
"01073",2025,25,7,3,0,3,5,7,3,3,4,245.5,219,18.2,119.4,2853,28,12,"Ceyzérieu","01",84,911244.2339999999,6529827.464,45.835321,5.721898
"01073",2026,16,3,1,0,1,6,3,3,3,0,204.9,186,42.9,118.7,2874,18.75,6.25,"Ceyzérieu","01",84,911244.2339999999,6529827.464,45.835321,5.721898
"01074",2024,100,9,4,0,4,28,37,22,7,2,218.2,204.1,22.8,78.6,1614,9,4,"Chalamont","01",84,867965.0129166663,6546379.216388892,45.996369,5.170418
"01074",2025,111,7,14,2,12,46,34,10,2,5,169.2,149.6,20.1,93.2,1806,6.31,12.61,"Chalamont","01",84,867965.0129166663,6546379.216388892,45.996369,5.170418
"01074",2026,78,12,3,1,2,14,24,25,12,0,238.5,242,16.4,78.8,2024,15.38,3.85,"Chalamont","01",84,867965.0129166663,6546379.216388892,45.996369,5.170418
