"code_commune","nom_commune","code_departement","code_region","centroide_x_lambert93","centroide_y_lambert93","nb_points_geocodes_precis","latitude","longitude"
"01094","Chavannes-sur-Reyssouze","01",84,854997.06,6594135.9,1,46.429355,5.018697
"01095","Nivigne et Suran","01",84,887035.9186666666,6577258.513333334,15,46.269315,5.428973
"01096","Chaveyriat","01",84,858577.192,6568613.08,10,46.198774,5.056648
"01098","Chazey-Bons","01",84,,,0,,
"01099","Chazey-sur-Ain","01",84,875475.03,6535671.085,2,45.898083,5.263444
"01100","Cheignieu-la-Balme","01",84,902496.49,6528673.25,1,45.827592,5.608775
"01101","Chevillard","01",84,,,0,,
"01102","Chevroux","01",84,849684.9155555556,6588652.882592592,27,46.381199,4.947779
"01103","Chevry","01",84,934035.058823529,6580385.655647061,85,46.282803,6.040356
"01104","Chézery-Forens","01",84,921140.1176190475,6573099.637142857,21,46.221584,5.869551
"01105","Civrieux","01",84,845860.0707142856,6537598.4292857135,14,45.922432,4.882194
"01106","Cize","01",84,,,0,,
"01107","Cleyzieu","01",84,,,0,,
"01108","Coligny","01",84,880255.1428571428,6589430.251904764,21,46.380714,5.345661
"01109","Collonges","01",84,924268.7567134826,6564032.23696629,89,46.138958,5.905785
"01110","Colomieu","01",84,,,0,,
"01111","Conand","01",84,,,0,,
"01112","Condamine","01",84,896995.7263636364,6559750.668181816,11,46.10891,5.550888
"01113","Condeissiat","01",84,860340.0633333334,6563370.513333333,3,46.151166,5.077712
"01114","Confort","01",84,918491.655,6565645.23,2,46.155363,5.831747
"01115","Confrançon","01",84,858494.8653846158,6575179.279743589,39,46.2579,5.0578
"01116","Contrevoz","01",84,904095.08,6524562.92,1,45.790122,5.627593
"01117","Conzieu","01",84,,,0,,
"01118","Corbonod","01",84,,,0,,
"01121","Corlier","01",84,893420.565,6550736.3525,4,46.028809,5.500929
"01123","Cormoranche-sur-Saône","01",84,841491.398,6572760.290000001,5,46.239899,4.836391
"01124","Cormoz","01",84,871383.5271428572,6596934.579285714,14,46.450575,5.233038
"01125","Corveissiat","01",84,890879.4491666666,6574923.102500002,12,46.24722,5.477904
